user,comments,
Mujahid Lashari,Lutto te Phutto...,
Imran Yaqoob,M*f* No any nation is ready for your hypocrite PDM.,
Usama Aslam,Ma Sha Allah,
Muhammad Jamil,MA Sha Allah,
Muhammad Jamil,Ma shaa Allah ?????? congratulations on pdm,
Arshad Mehmood,M‡dr·ss‡s are the root cause of all the ÈvÌl in our country. Let's annihilate all these ÍxtrÍmÓst religious institutions so our country can set off on the highway of science and technology.,
Salman Ch,Maa ke khoo. Ka hisaab nahi lya is khusry ny,
Usama Sahar Randhawa,Maa shah ALLAH,
Mian Shahzaman,Maahallah g,
Kashif Kashi,Madam,
¿s‡d ¡gh·,Madam apny bhayi bi jalsi bolalo home ghrebon ap logon bewaqof banin affsoz madam meryem jan.affosoz 1972 ajkl Tak home bewaqof banayi hain apki bachin.aur bhayi aur peyari in.jelson balao bilawal Kya taklef hain emel Kya taklef hain mohmood Kya h aur sub ghreb kr‡ya.pr lain ap batao ap lahori ghreb kpk ghreb aur polochistan ghrebon aur sandh ghrebon Kya deya batao madam j aur.molana keya.deya bato madam,
¿s‡d ¡gh·,Magnificent,
Amirjaved Sheikh,Magnificent,
Faizullah Fragh Pmln,Main lahori hn aur lahore pml n ka home town hota tha jis k.jalsay ki wajah say lahore 70 percent closed hojata tha Lakin aaj jab wahan gaya tou lhr enter honay wali road ki side per bahir say log aarahay thay Lakin dosri side per traffic assani say beghair rukay raffa daffa tha aur lahori 0.2 percent thay yeh pehla mauka tha k logo nay nazar andaza Kat diya aur peechli aur majooda hakoomat dono say logo ki umeedain khatam hogayee hain aur sab log ab peechli aur majooda hakomat ko nazar andaz kar k mehangaye aur gurbat say tang aakar,
Ali Mumtaz,Main tery Jan nisar by shmar .......,
Faizullah Fragh Pmln,"Make it simple"" we have not dare to talk like this in rallies.",
Faizullah Fragh Pmln,"Make money from home today via binary/forex/bitcoin trading, take advantage of this 90% risk free opportunity and be glad you did. The secret behind a successful man or woman they say is investment, make hay while the sun shines today and stand out to Ö",
Raja Ibrahim,"Make money from home today via binary/forex/bitcoin trading, take advantage of this 90% risk free opportunity and be glad you did. The secret behind a successful man or woman they say is investment, make hay while the sun shines today and stand out to Ö",
Raja Ibrahim,Mam we respect you,
Ch Zubair Aslam,Man who has been prime minister for 15 years and had all the oppertunity to raise standards and rebuild the country infrastructure but he couldít do so because he was too busy laundering money abroad is comparing him self with A MAN who had every thingÖ,
chor???? ????? chor???? ?????,Mandwiwalla even a CHAPRASI can question a MNA and MP and he has to answer because they are SERVANTS of 22 crore Awam. If Shezad Akber ASK you an Awam is ASKING a POLITICIAN. Why do you PANICK.,
Shahid Rehman,Manipulating religion for their vested interests. What a shame! Poisoning the minds of masses by misusing the already misunderstood concept of jihad. People like him are responsible for the rise of islamophobia and extremism.,
Irfan Khan,Mara murshad muolana sab,
Muhammad Fayyaz S,Marayam ground da kona tak bhar nahi saki or batain aisa kar rhi ha jasay poora ground bhar lia hoo,
Jawed Ahmed,Marayam nawaz nalaiq .chor chor sara tabbar e chor????????,
