user,comments,
M A Trading japan,Who needs fake democracy led by hypocrites when u have tasted the superior taste of Bajwa Johns! I can not stress this enough; Bajwa Johns is much better than Pizza Hut and Dominos!,
Muhammad Afzal,Who was Afghan among any rulers of Indo Pak??? Answer is none of them.,
saif ullah,Whole Pakistan knows PM Imran Khan's journey of two decades and struggle to become the PM. No he wasn't fed by General Jillani and neither did he called Gen Zia his father.,
syed MasoomOffical,Whole world knows you n your associates are biggest corrupted politician in world political history,
Atif Naeem,Why Diesel is not given a seat to be quite. One seat is hid price and he will give any Fatwa like Benezir Govt.,
humble malik,Why do people even listen to this c*nt?,
usman aslam,"Why donít you take off your mask and get it in the crowd? Youíre too scared of catching corona virus but donít care about the poor public who you use for your show. Hope these people wake up and see your intentions for what they are, zardaris and shariÖ",
Rafi Khokhar,Why don't Molana donate all his assets to the under privileged.,
Akbar Abbas,Why he is smiling while talking?,
Syed Hassan Shah,Why is Dawn promoting him...,
Fak Fak,WHY JANUARY? WHY NOT NOW!!!!!,
sajid Mahmood,Why media gives her air time.,
Muhammad Zaman,Why mullah Saab uses the name of jihad for his own interests,
Had er,Why not December??,
Muhammad Afzal,Why was he appointed when there already was a ruling on Chairman PTV's age?,
One and only,"Why why East Pakistan became Bangladesh . i want to vote for her , will die for her",
wounded heart,Why you are not part of,
Taimur Mughal,Why you were not part of this rally?,
Akbar Abbas,"Why your statement looks like you are giving PTI the option - previously ""government to be send packing"" & now ""will have to go home"" by January. Means your threat was taken very lightly by the government so you soften your stance, well they are not goÖ",
G M,Will it remove the role of army in the governance?,
M A Trading japan,With crowd of 1000 maximum he / she demand for govt to go home. Such a clown,
Muhammad Afzal,"Would he like to "" name the selectors????""",
saif ullah,Wow,
syed MasoomOffical,Wow,
Atif Naeem,Wow,
humble malik,Wow keep it up,
usman aslam,Wowww MASHAALLAH!,
Rafi Khokhar,"Wtf. If you let us win, we would declare elections as free and fare, otherwise, they are rigged and we wouldn't accept the results. If you had any doubt then why did you participate in elections in first place??",
Akbar Abbas,Ya choor Han Kia jwab han,
Syed Hassan Shah,Ya sb azadi bhot hey ...bus corruption mein humein bhi hisa do ab awam ya chati hey,
Fak Fak,Ya unti kon ha jo chella chella ke bol rahi ha ??,
sajid Mahmood,Yaar kaisay confidence say jhoot bolti hai ye ourat.. hadd hai waisay baysharmi ki,
Muhammad Zaman,Yaar sab bakwas bool rahe hy,
Had er,Yah Koi Garib Aurat Hai Jiski London Mein To Kya Pakistan Mein Bhi Koi property Nahin Hai,
Muhammad Afzal,yaqeen man bhai agr yeh jeet Jata na to yeh nobat na ati. De dete yar Aik seat Kya tha bhala.,
One and only,Yar hud hoti Hain hahahahaha qasm sy aisy log leader hain,
wounded heart,Ye aurut kis be shurmee aur dhuttaee se Jhoot boltee hai ????????,
Taimur Mughal,"Ye banda Musharaf ki hakoomat main bhi tha, 1992 se har 4 sal bad fatwa badalta ha",
Akbar Abbas,Ye gadar chore begerat ??pdm ppp pmln ptm mqm juif ttp gadar dizal gadar media gadar begerat lafafa,
G M,Ye ha lachaar bay rozgaar bhekaari pmnl and its dogys,
M A Trading japan,Ye har bar Gilgit baltistan mai a kar humko hi topi phena k chale jaty thy is bar humny hi isy topi pehna di.,
Muhammad Afzal,"Ye historically largest gathering ha,no doubt.",
saif ullah,Ye hr wqt guse m kyn rhti ha,
syed MasoomOffical,Ye jail say kasi reha hoi?????,
Atif Naeem,Ye Jo dahshat gardi hai iske piche wardi hai,
humble malik,Ye Jo dahshat gardi hai iske piche wardi hai,
usman aslam,Ye motti behns ka se laya hai yar,
Rafi Khokhar,ye pehly kabi bahir i hai asy ab khud par pari hai to awam yaad i hai choro ko,
Akbar Abbas,Ye sameer maqam he na is se to donkey acha he pata nahi kaha se ye jahil pdm Pakistan main namodar howi he krona vires ki tarha,
Syed Hassan Shah,Ye satya howa baba is say pehly be aisa harkat kar chuka hay....,
Fak Fak,Yeah they are too gutless to say it directly. But they still have the audacity to accuse the only institution which is not in debt and that the Public still trusts.,
sajid Mahmood,Yee ache baat hai k logon koo wahan khana deya jaa raha hai or herangi kee baat hai log wahan khana khany hee aee hen. ??,
Muhammad Zaman,"Yeh gushti aik raat ke liye aa jaey , to promiss hay , ke next wote khan ka ho ga .",
Had er,Yeh kashif tilted towards ppp.,
Muhammad Afzal,Yeh moo Aur masoor kee daal,
Zia ullah,Yeh quetta kyu nhi gaya khushboo lga k,
Ghufran Shah,Yeh tou Bohat bonkti hey. Per Kia faeyda,
Rahim Nohari84,Yehi kehta hai kay itni chori air ghaddari kay bad bhi. Mujhay chordo,
usama Shahid,Yep..... miscalculation,
MA Shah,Yes,
Abdul Ghaffar Shahid,Yes,
Rashid Aziz,Yes and they donít want a Bhutto monarchist agenda also get lost man !,
LUAFAAR JANAN,Yes Army ka bhi audit hona chahiay,
Rashid Aziz,Yes because you have no courage like nawaz shareef. He speaks truth thats why he is facing a these troubles...,
Ali Gujjar,Yes bwp,
Taimur Mughal,Yes like the ppp government rid poverty and unemployment from sindh! Billo rani you and your like have taken the right of free thinking and all other rights from the poor people of sindh.,
Hazoor Bakhsh,"Yes yes definitely giving more positive light to the word ""Jihad""",
Rocky Verma,Yh log biryani khaaany aye thy.....,
Remain Anonymous,You are endangering peopleís lives you pathetic excuse of a human being!!! Hang your damn head in shame!,
Waseem Tayyab,You donít even care that these poor people can get COVID-19.,
Ramiz khan,You don't know that how to talk with Imran khan.,
Muhammad Jawad,"You dumb ***, India ki opposition Kashmir pe itne nahi bol rahi jitna ye liar Balochistan pe bol Raha hai. This person has no credibility to talk on anyone's behalf. and chairman.",
Mix Videos Pak 150,You go to bathroom and check,
Hamza Imran,You have nothing in common with Quaid e Azam. Keep your dirty politics to yourself. Go back to Pakistan and face the cases first.,
Saeed,You nailed it man !,
Faqeer Khan,You people have no choice other than to force buy Chinese vaccine. Mark my words.,
Ashraf Muhammad,You people never visit Balochistan when it needs you all but for your own selfish objectives you all are there!!!,
mahjabeen tasleem,You r absolutely right because There has been imposed silent martial law.,
Ahsan Khan,You see all the patwaris run from the comments when it talks about Pakistanís progress.,
MD YaSiN,you should tell what PPP did in Karachi and how mashallah Karachi is an example for whole Pakistan as a perfect city,
Bushra Khawaja,Your absolutely right God bless you.... Army ka b audit huna chye...,
Star Light,Your father was clean Shoo janarl zieaulhoq,
Haroon Khan,zaan tayar ka bal jihad start sho,
Shakila Khan,Zabar dast,
Zahida Imran,Zabardast,
Ahsan Khan,Zabardast,
usman aslam,Zabrdst,
Aa Aa,ZAIN Don ok,
Syed Haider,Zardaris half son,
Hdh Hxh,Zendabad Maryam bibi,
Shahid very good Ali,zindabad,
Saqib Ali,"Zulm ki saltnat ko giraen gaey hum, inshallah",
kaliwal rang,TRUE,
Aun Changezi,A movement of thieves,
sad status Rao,Aa allah in ko gark kar dy,
sad status Rao,Aa allah in ko gark kar dy,
Nasir Ahmad,"Abbu bachioo, choorni",
Nasir Ahmad,"Abbu bachioo, choorni",
funny fun,Chor,
Shahab Khan,Chor r chor,
Shahab Khan,Chor r chor,
Awais Khan,Chorni jhoot na bolo,
Awais Khan,Chorni jhoot na bolo,
Syeda H,"Definitely Flop jalsa, it was a mixture of so many parties and still not much people.",
Shehbaz Ishaq,Every educated is speaking against you,
Shehbaz Ishaq,Every educated is speaking against you,
Noman Mustafa,Great.....,
Acidoxic,I am from bahawalpur i even don't know that she is coming and addressing here so poor publicity ??,
Acidoxic,I am from bahawalpur i even don't know that she is coming and addressing here so poor publicity ??,
Dr PJ Khan,Jalsa nai ye julsee thee. Lol,
M.A Alam,Jhooto pur ALLAH ki laanut... ALLAH tum sub ko burbaad kre ameen,
M.A Alam,Jhooto pur ALLAH ki laanut... ALLAH tum sub ko burbaad kre ameen,
Mahummad Munir Dojki,"Liar Liar Liar
Sab Jhoot
BBC reporter is Liar",
Aam Insan,"Like sy zeyda dislike??
Aoqat dekh loo in ki",
Maida Boutique official,chor,
Maida Boutique official,chor,
Qamar Rashid,Love your voice,
Fak Fak,"Maryam : Nawaz sharif aap say toot ker muhabbat kerta hai
Nawaz sharif : Chal jhooti",
Fak Fak,"Maryam : Nawaz sharif aap say toot ker muhabbat kerta hai
Nawaz sharif : Chal jhooti",
Alam Wazir,Maryam nawaz has world record of delivering hassan in 6 months after marriage.,
Alam Wazir,Maryam nawaz has world record of delivering hassan in 6 months after marriage.,
Safia Qureshi,moh kala kiy,
Huzaifa Ahsan,jail,
Huzaifa Ahsan,jail,
Muhammad Tanveer Khan,jail,
Muhammad Tanveer Khan,jail,
Ahad One,jail,
Rukaya Rukaya,jail,
Imtiaz Ahmad Wattanyar,jail,
Ali Muhammad,jail,
Ali Muhammad,jail,
Dr PJ Khan,Patwarion ka channel BBC.,
MazAzm Memon,PDM is the pool of thieves.,
Nizam uddin Qazi,PDM Murdabad,
iftikhar khan,Poora Tabbar hi CHOR Hai......,
iftikhar khan,Poora Tabbar hi CHOR Hai......,
Munir Ali,Rani 420 chor chor machaye Shoor..??,
Munir Ali,Rani 420 chor chor machaye Shoor..??,
AndroidGamingDude,She's so beautiful?,
AndroidGamingDude,She's so beautiful?,
Nickname,Text,
SHABI SHAH ANALYSIS,Thank u for updating us,
Mani Don,??Agali waziray Azam??,
Firdos Khan,11*11party Imran khan sy qorban,
Saleem Jaan,A1,
Abdullah Yousafzai,Afsoos PTI ke Minar E Pakistan se bara jalsa Nahi tha,
Zarar Khan,Agar mulk AP logoo nay tabah nahi kiyaa to pir kis na kiyaa.... Imran Khan to abi ayaaa hai.... Bewaqoof banooa aur b awam Koo.... Chor,
Abdull Rrauf,Ap .ka.number,
Ahmed Malik,Bannu k tmaam madaaris bnd hun gy is rally py. Chotay sy chota aur btray sy brra taalib ilm yahan hazir ho ga. Allah Hidaayat dy in molviyon ko bs.,
Zunair Munir,BannuTu wapas ajaFir main mannu,
Sibghat Ullah Bangash,Bol news r ary news: sirf 6 hazar log hai,
Name,Comment,
Yameen Khan Yameen Khan,Congratulation,
Usama Satti,Corona gia bhar me ??????,
Hamxa Mansoor,Corona ki CUSMELUN ??,
Adeel Shakil,Covid se In ma se koi bhi mara to rooz-e-hashar yei log apkay galay ajeingy.,
Djszk Prudactin,Dew LA daiale PA wakha warka,
Sheikh Rasheed Ahmed Saqib,EXCELLENT PERFORMANCE,
Najam Rana,Gali gali men shoor ha poora he tabbar choor ha ????????????,
Rizwan Azaan,GO IMRAN GO,
Rizwan Azaan,GO IMRAN KHAN NIAZI GO,
Saad Khattak,Go niaze go,
Saad Khattak,Go niaze go ab ro niaze ro,
Tanveer Abbasi,Go niazi go,
Ijaz Ali Ziam,Good,
Amir Khan,good,
???? ????,Good,
Pr???? B?l?l ?w??,Good,
Pr???? B?l?l ?w??,Good,
Kashif Raza,Good luck,
Muzammil Bloch,Goood,
Rana Azeem,Great,
Saleem Khan,Great,
Muzammil Wazir,Great,
Rana Azeem,Great,
Farman Ullah,Great,
Syed Amjad Shah,Great ???,
Talha Toor Arshad,Great leader,
Saif Basra,Great Leader,
Abdullah Ilyas,Great Leader inshaAllah,
Bin Ashraf,Great Leader Maryam Nawaz Sharif,
Sajid Ali,Great sherpao,
Rukhsana Maken,Gud oy gud sherni,
Samina Ashraf,Hahaha,
Sufyan Usman,Hi I am supporter you,
Sharjeel Theme,Hy,
Bint e Muhmmad,I am onlne quran teacher only female and kids at home Noorani.Qaida Nazra Quran Hifzul Quran 6Kalme Asan namaz masnoon duaen 40Hadeescontect only females whatsapps+923222140426,
Salman Khan,I love mawlana,
Kashif Bhatti,I love you PMLN,
Akram Ali,"Imran is great ,and honest",
Rizwan Azaan,IMRAN KHAN CHOR HAIN JHOOTA HAIN NIAZI,
Muhammad Kashif Muhammad Akmal,Inshallah hamare hukomat dubara ay gi,
M Rehan,Its proven that PML(N) along with socalled opposition using fool and stupid people's just for ther personal purpose as they try to get rid of Corruption cases they haven't any care of people's health during pandemicOpposition are/was not loyal to their own supporters who can they loyal to our Country ?That's a reason they are playing in the Hand of Modi Just for Personal benefit not for pplz nor for national interest,
Jamil Abbasi,Izhar b mushkil ha chup ra b ni skty majboor ha uf ALLAH khuch kah b ni skty,
Wahab King,Jui zandabad,
Malik Rashid Ullah Khan,Jui Zanidabad,
Malik Rashid Ullah Khan,Jui Zanidabad,
Agha Sadaruddin Khan Pathan,keep it up,
Misbah Ud Din,Love you,
Akbar Akbar,Love your pml,
Zohaib Sher,Ma sha Allah,
Waleed Ahmad,Maa shah ALLAH ??????,
Adnan Wafa Jaan G,Maahallah g,
Kanwal Masood,Madam,
Aqib Rahman Prince,Magnificent,
Manzoor Ahmad Pmln,Main Bhi Nawaz Hoon,
Muhammad Ejaz Jazi,MARIAM NAWAZ AP QUETTA JAO INSANI HAMSARDI K.NATY VURSA KO.TADFIN K LIY RAZI KARO AUR BATA DO NIAZI AWAMI LEADER NAHI HY SELECTED HY US KA AWAM SE KIA LENA DENA,
Muhammad Ejaz Jazi,MARIAM NAWAZ AP QUETTA JAO INSANI HAMSARDI K.NATY VURSA KO.TADFIN K LIY RAZI KARO AUR BATA DO NIAZI AWAMI LEADER NAHI HY SELECTED HY US KA AWAM SE KIA LENA DENA,
Farid Ullah Jan,Maryam apni washal thik karado. AP ne 9 mah ka project 4 mah main leak kar dia tha. Geraj main bahut leakage hoyi thi apki. Plastic surgery se ziada ye zaruri hay k ap apni washal ki repairing karwa lo.,
Altaf Muhammad,Maryam to is jalsa main thi hi nahin. Zara ghore se dekho is jalsa main talbaan e Afghan k jhanday nazar aaen gay.,
Khalid Butt,MasahAllah,
Zubair Zafar,Mash Allah,
Zia Ullah,Mash Allah ??,
Rai Sikandar Qadir,Masha Allah,
Riaz Kayani,Masha Allah,
Abdulraheem Lanjar,Masha Allah,
Adnan Saffer,Masha Allah g,
Ishfaq Hussain,masha allha .,
Noman Qureshi,"Masha,allah",
Muhammad Kashif Muhammad Akmal,MashaAllah,
Muhammad Bashir Ahmed,MashaAllah,
Muhammad Bashir Ahmed,MashaAllah,
Saif Ullah Shaheen,Mashaallah,
Amjad Ali,MashaAllah,
Wajahat Shaheen,MashaAllah g,
Taif Khan,Mashaallah great man,
Amin Ullah,Mashalla,
Ahmade Wazir,Mashallah,
Bilal Chaudhary,Mashallah,
Razaq Khan Durrani,Mashallah,
Malik Shahbaz Channar,Mashallah,
Zahid U Khan,Mashallah,
Aini GM,Mashallah,
Shoaib Khan,Mashallah,
Amir Abbasi,Mashallah,
Malik Shahbaz Channar,Mashallah,
Sardar Aurang Zaib Wattoo,Mashallah,
Aini GM,Mashallah,
Malik Rashid Ullah Khan,Mashallah,
Rao Rizwan,Mashallah g mashallah,
Muhammad Ayaz,Mashallah mulana seb zendabad,
Malik Tamoor Jalip,Mashallah sherrr,
Janatullah Wazir,Mashallah zaber10,
Muhammad Jamal,"Mashallah,In thease critical situation. the bahulpour public decision infaver of PMLN.",
Kashif Bhatti,Mire Jan Nawaz Sharif k ley qurban ho Hafiz Muhammad Kashif Bhatti 03008771003 Wathsap Bahawalpur,
Yasar Mehmood,Mix schar parti,
Madiha Alnaez,Mje smaj ni atty youthis. Ke under kon sa kedda he jo pmln ke page pe ankay niazi jewish pathan wali languages use krty he ??????,
Saad Khattak,Molan zindabad,
Zohaib Sher,Molana sb,
Munwar Ali,mulna zinda bad,
Hussain Ali Faraz,Naskor hy pDm???,
Mak T,Nawaz sharieef chor ha or ghareeb awam ka Paisa wapis karo,
Shukoor Ullah,Next pm,
M?j?h?? M????,Nice,
Omair Zahid,Nice,
M Aslam,Nice,
Ishfaq Hussain,nice,
Aqib Rahman Prince,Nice,
Muzammil Bloch,Nice,
Abid Qureshi,Nice,
Qaisar Ali,Nice medim,
Aadita Rai,Nxt pm,
Samar Jamil Khan,"Old saying:1.A divided house needs no enemy to bring it down.2.The serpentine tongue intoxicates its possessors in intense hate of others.He demonizes all others even his closest partners if it suits him. 3. A serpentine tongued person is often extremely arrogant,liar and fake.He is fond of sycophant and intriguers who could add fuel to the fire and burn everything around to his wish.. 4.The house keeper who keeps demonizing his associates day and night his opponents: he leaves room open for enemies to indulge in terrorist activities,kill its people and risk its security.",
Amir Ali Mir,P D M Zanda bad pmln zindabad,
JaHangir Khan,Panorama pic??????,
Ejaz Ahmed,Pm of pakistan maryum nawaz inshallah,
Rana M Shahnawaz,PMLN workers zinda baad SALAMAT raho Ameen,
Waqas Ahmad,"Post krne se pehly verify kr liya kren q k aksar apki posts fake hoti hain. Ap khud tou bezati proof hain, apkay supporters bichare defend krte krte izat gwa dete hain..Btw, camera zra uper tou uthaen, samandar ka dusra kinara dekhna chahta hun",
Djszk Prudactin,Sab log Serp Mariam nawz dek ne kelue aue te log naraz calegaue,
Adil Shaikh,"shame on ARY media group for negative reporting, according to ARY due to small amount of crowd PMLN leadership may not start there rally.",
Muhammad Hassan,sharum mager tum ko ati nai.. you are putting awaam's health at risk.. shame on you. BITCH.,
Mohammed Saqib Mohammed Saqib,Sheer,
Raja Fahad,Sher,
Sardar Jameel,sher,
Rana M Shahnawaz,Sherrrrrrrr,
M H Khan,So sweet,
Bakhtiar Khan,This shows the popularity of maryum nawaz sharif,
Malik Irfan Tangi,"This is called mixture of thieves, robbers and immature masses who follow blindly their corrupt leaders..????????",
Fida Ali,Thk kha ap ne,
Malak Noman Khalil,Very good,
M H Khan,Very nice,
Rooh Ullah,Very nice,
Zeeshan Awan Awan,Vip,
Ijaz Ali Ziam,Weldon,
Salman Khan,Well done,
Hamza Baloch,What a great *Effort* to spread Covid-19 Among them. Apni chori bachane k liye inko bahar nikala hua h Lahore s shuru hui PML(N) or Lahore me he Dafan hogai ?? historic Flop Show ever ?? wo jisne kabhi kitchen nh chlaya zindagi me unhe Country chlana h ?? Maryam sahiba Rehn dein ap..,
Waseem Muhammad,"What an effort to spread deadly virus, at least show some respect and empathy ? towards Pakistani people. Please do your politics after that virus will be over. I am not saying who is right or wrong here.",
Hina Hina,"Wowww MASHAALLAH!
[PHOTO] https://scontent-iad3-1.xx.fbcdn.net/v/t39.1997-6/70044733_1367570576773814_8005512851525468160_n.png?_nc_cat=1&ccb=2&_nc_sid=ac3552&_nc_ohc=dzyCpeObDe4AX8x5TvQ&_nc_ht=scontent-iad3-1.xx&oh=d7a90ab5a006114b89b6d30bf229f722&oe=60227CC5",
M H Khan,Zabar 10,
Maqsood Ahmad Qadri,Zaber dust.,
Mehar Shahid Kona,Zabrdst,
Zaman Tareen,Zainda bad PDAM,
Mohsin Ali Younis,Zindabad,
Sajawal Malik,Zindabad,
Umair Khan,Zindabad,
Sheryar Khan,Zindabad ?,
Zulqernain H,0 khuda ki kasam chut chut ki biwi autobest,
Haji Gul Qaisrani,"11,Siasi sudager nikly hn Khan ko hatany, nakam hungy.",
Shahid Pti Riyadh,24 news par laanat,
Shaheen Zahid,30 sal tum nay kia keya  ???,
Hafiz Noor,Agreed,
Sayyar Khan,Ahrami,
Tabassum Parween,Ahtajaaji mozaahira nahi moon kaala kurvaain gaiy,
⁄©Ÿà€Å €ÅŸÜÿØŸà ⁄©ÿ¥,"Aik he suff me karray ho gaye Modi yahoodi Nawaz, Na koi Bandar raha aur Na koi Qatri Nawaz,",
Saeed Khan Balouch,Alam K naam pa dhabba,
Aziz Khan Pti,Ali baba 40 choor,
Kareem Khan,Allah hefzat kre molna sab zandbad,
Adnan Khalil,Allah ki Qasam shakal se Insan Darta hai,
Don Zae,Allah lambi zindagi dai Moulana saab ko ..Ameen,
Ali Ajmeer,Allah tala tuje khenzeer K mout mardai,
Ayesha Khan,Allaha tumay zalil karay Ameen,
Raheem Khan,allahap ap ko zindagi ata far mai,
Hafiz Noor,Allh ap logn ko kamyab karain,
Gul Zameen Khan,Anp jui,
Naeem Khan,Apni haqeqat bata rahe ho molana,
Shaheen Shah,Apny asaso ka jwb b do na,
Malik Sahib,Army wal ye dozali ta ghaye,
Dawood Ahmed,As fazlo ki wajha sa logo na madrasoo ko chanda dahna band kar diya,
ŸÖÿ≠ŸÖÿØ ÿßŸÇÿ®ÿßŸÑ,Assalam o alaikum,
Raj Sangal,Bachara diesel tras ata hai ap par bachara,
Amjad Qadri,Bagart harami,
Agha Ghazi,Bahoot khob,
Tabassum Parween,Bai shurm moulana jub too Kashmir comuty ka chair man that jub to toonay kabhi aav√†az nahi nikaali ab bukvaas kur Raha hai,
Javidiqbal Mohammad,Bakwas  band  kar kameny,
Sufi Abdul Karim Ali,Baygherat dezil,
Salim Mayari,Best,
Universaltime Tajamal Hussain,Bohat khabees he,
Bilal Younas,Bund v de lo khan nai janda,
Miskeen Ullah,Chal barwe,
Syed Asad Kazmi,Cheekhtey raho yeh hi tumhary saza hay.,
Irfan Khan,Choooro ka sardar fazal Rehman ghadar,
Irfan Khan,Choooro ka sardar fazal Rehman ghadar,
Ikhlaq Wazir,Choor,
Amir Muaviya Bin Sufian,"Choor , Daco, lanati kanjar ]",
Ahsan Chaudhary,Choor choor choor choor choor,
Ahsan Chaudhary,Choor molvi,
Syed Asad Kazmi,Choor nawaz phansy karo.,
Abdulwahid Khan,Choor. Choor mulana,
Syed Asad Kazmi,Choorny,
Syed Asad Kazmi,Chooron ki quran par kar madad na karo.jhanam jaogey sure.,
Khan Shahi,Chor,
Ahmad Arain,Chor,
Arshad Niazi,Chor gardar Indian agent,
Arshad Khan Niazi,Chor gardr,
Pio Rehman,Chor leader,
Sheraz Ahmad Mughal,Choran da tola....,
Wazir Khan,Choro ka tola sab juth,
Shahnawazkh Mukhlas,chukhay,
Jamil Mughal,Chur niazi go niazi,
Faisal Khan,Chut mrwo,
user,comments,
Mihtab Khan Khan,Congratulations,
Sufi Abdul Karim Ali,Currapt mafia,
Amjad Khan Niazi,Deasel.,
Nadeem Choudhry,Deazl dala,
Muhammad Waqas,Deisel,
Usman Abbasi,Desal,
Ghullam Murtaza Bhangwar,Desal desal,
Dildar Shah,Desal harame,
Jamshed Jamshed,Desel mangi hai bolo desel,
Muhammad Irshad,Desiel.choor.   rooz nayee baat buna laita  hay,
Arslan Arslan,Desil,
Hamid Khan K Khan,DEZAL,
Hamid Khan K Khan,DEZAL,
Abdullah Ghani,Dezal,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal beagert,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal dala,
Nadeem Choudhry,Dezal gandi nasal,
Nadeem Choudhry,Dezal gandi nasal,
Nadeem Choudhry,Dezal gandi nasal da kuta,
Nadeem Choudhry,Dezal gando,
Nadeem Choudhry,Dezal halqa ho gia j,
Nadeem Choudhry,Dezal hrami,
Nadeem Choudhry,Dezal hrami gandi nasal,
Nadeem Choudhry,Dezal kanjar,
Nadeem Choudhry,Dezal kuta,
Nadeem Choudhry,Dezal kuta,
Rakhmt Ali,Dezal lanaty Nawaz Sharif ki koty,
Nadeem Choudhry,Dezal teare nasal ty lanat,
Fazal Khan,Dezel and qatri nani,
Wasi Tanha Ws,Diesal dalal murda baad,
Khushal Khattak,Diesel,
Syed Asad Kazmi,Diesel and larky ka dance.,
Suhail Malik,Diesel Choor,
Syed Asad Kazmi,Diesel choor,
Syed Asad Kazmi,Diesel go,
Syed Asad Kazmi,Diesel ka nanga dance.,
Tariq Mahmood,"Diesel khud govt se baher hai, iss liye chal posi kar rah hai, tumbko kuch b nei milay ga, inshaAllah.",
Younas Khan,Diesel sab tum NY arbon kherbon kahan sy kamaya tumhara koie karobar nhine aor tum 10 sal tak Kashmir cumeti ka sarbra rahy tum ny Kashmir ko modi k hath mine becha hy diesel tum RAW Israele Agent how sharam kro  Indian yahodeon k Agent,
Amir Muaviya Bin Sufian,"DIESEL SHORA KAJAR, DALLA MADARCHOOD, GANDO DIESEL",
Farid Khan,Diesel taba da,
Sher Ali Khan,Dizali munapiq murdabad,
Muhammad Akbar,Dogs,
Syed Asad Kazmi,Dont say kashmir now traitor.,
Mufti Fayaz Ali Haqqani,Emame enkelab,
Bashir Ahmed,emran kota,
Jibran Ali Ali,Es country ka Sab say bara KUTA,
Salim Mayari,Excellent,
Sufi Abdul Karim Ali,Fasadi mullah,
Muhammad Irshad,Fazloow apna hisaab daaay,
Jani Jani,Fzlo lanti,
Jibran Ali Ali,Gaaando,
Muhammad Noman,Gadhy k khuwab me ghass,
Ahmad Arain,Gado,
Faisal Khan,Gando,
Touseef √ùo≈´sƒÅf≈ºaƒ´,Gando molana,
Javed Cheema,Gandooopp,
Faizan Ullah Faizan,Geo,
Nasrullah Khan Noonari,Geo,
Farid Khan,Geo Khan geo pti,
Farid Khan,Geo Khan geo pti geo Pakistan,
Abdulrehman Khattak,Geo molana,
Jamil Mughal,Geo molana sb,
Ihsan Ullah,Geo mulana...,
Zafar Ch,Geo tum,
Ayaan Gillani,Gg,
Naeem Khan,Gharebon ko diharhi bhi diya karo molana,
Sayed Ali Raza Shah,GO dalal Khan go,
Syed Asad Kazmi,Go diesel go,
Syed Asad Kazmi,Go diesel go,
Syed Asad Kazmi,Go diesel go,
Fazal Subhan,Go imran Go,
Ghulam Jilani Ghulam Jilani,Go Imran go,
Naseem Anp,go imran go,
AD Dhakku,Go Imran go,
Imran Khan,Go naizi Go,
Abu Aafia,Go Nazi go,
Nizam Ullah,Go Neyazi Go,
Akhtar Zaman,Go niazi go,
Kandan,Go niazi go,
Muhammad Bin Mushtaq,Go niazi go,
Karamat Ali,Go niazi go niazi go,
Hazrat Gull Hazrat Gull,Go niazi gogo,
Yasir Jovinda,Go niyazi go,
Kareem Khan,Go niyzi kotta go,
Kareem Khan,Go niyzi kotta go,
Hamza Bangash,Go nizam go,
Alihyder Shah Sayed,Go PDM Go,
Alihyder Shah Sayed,Go pdm go,
Deen Mohammad Attari Bangulzai,God molana sb,
Ata Ur Rehman Bk,Goo goo goo,
Ilam Nawaz Sherani,GOOD,
Shah Jee,Good,
Ahmad Ali,Good,
Gulam Abbas,Good,
Muhammad Safdar Ali,Good,
Ihsan Ullah,Good,
ÿ∂€åÿßÿ° ÿßŸÑÿ±ÿ≠ŸÖÿßŸÜ ÿ∂€åÿßÿ° ÿßŸÑÿ±ÿ≠ŸÖÿßŸÜ,Good,
Malik Fazal Dehwar,Good,
Shahnawaz Khan,Good,
Kareem Khan,Good,
Tariq Walayat,Good,
Habib Hb,Good,
Zafar Ullah,Good,
Ghulam Shabbir Shabbir,Good,
Habib Hb,Good,
Aslam Khan,Good,
Mohammad Khan Mohammad Khan,Good,
Muhammad Pir,Good   ,
Prince Waheed,good  m,
Gulam Abbas,Good for you,
Ahmad Ali,Good I with you,
Abubakar Sadeeq,Good mola na sb,
Qari Raees Muhammad,Good molana,
Hazrat Hussain,Good mulana,
Jalal Khan,Good mulana,
Fazli Wahid Fazli Wahid,Good pdm,
Dawlat Khan Papni Swat,Good sheroo,
Agha Ghazi,Gooo nayzee goo,
M Asif Sahib,Goooooood,
Ilam Nawaz Sherani,Great,
Ziaurehman Marwat,Great,
Siddique Ahmad,Great,
Imran Khan,Great,
J√™h√£≈à √Öli M≈≥≈°ƒÉkhƒïƒôl,Great,
Tariq Walayat,Great,
Ghulam Khan,Great,
Syedali Syedali,Great,
